"TSectors","Intensity"
"Agricultural",58.1
"Air Force",0
"Army",0
"Army Headquarters",0
"Business",65.6
"Catholic",0
"Communist",0
"Criminals",92.6
"Dissident",84.6
"Education",53.1
"Elite",64.1
"Ethnic NGOs",0
"General Population",187.3
"Government",0
"Government Major Party (In Government)",0
"Human Rights NGOs",0
"Intelligence Ministry",0
"Justice",64.1
"Legal",0
"Media",0
"Medical",0
"Military",57.1
"National",0
"National Religious",0
"Navy",0
"Nongovernmental Organization (International)",0
"Organized Violent",0
"Police",100.6
"Protestors",82.1
"Radicals",0
"Rebel",0
"Social",257.9
"South American Indigenous",0
"Unidentified Forces",0
