"TSectors","Intensity"
"(National) Minor Party",0
"Agriculture",0
"Army",0
"Centrist",0
"Criminals",12.6
"Dissident",0
"General Population",98.8
"Health Ministry",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Labor",4.2
"Local",0
"Media",0
"Military",9.6
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",25.6
"Police",0
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",0
"Social",57.4
"State-Owned Transportation",0
"Unidentified Forces",12.6
