"TSectors","Intensity"
"Agricultural",0
"Business",0
"Christian",0
"Criminals",12
"Dissident",37
"Education",0
"Elections Ministry",0
"Exiles",0
"General Population",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",0
"Insurgents",0
"International Dissident",0
"International Insurgents",0
"International Religious",0
"Labor",1.6
"Legal",19.5
"Marines",0
"Media",0
"Military",8.2
"Municipal",0
"National Religious",12.2
"Nongovernmental Organization (International)",14
"Nongovernmental Organizations",0
"Police",0
"Protestors",0
"Radicals",9
"Rebel",15
"Separatists",0
"Social",589.6
"State Owned Enterprises",0
"State-Owned Transportation",0
"Sunni",30
"Unidentified Forces",12.4
