"TSectors","Intensity"
"Agricultural",93.4
"Buddhist",0
"Business",85.4
"Criminals",102.4
"Dissident",144.4
"Education",85.4
"Exiles",0
"Finance",0
"General Population",88.4
"Government",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",0
"International Ethnic",0
"International Religious",0
"Local",82.4
"Media",92.2
"Medical",0
"Municipal",0
"Muslim",0
"National Ethnic",0
"National Religious",104.4
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",120
"Police",146.1
"Protestors",0
"Provincial",84
"Radicals",0
"Rebel",0
"Separatists",0
"Social",341.7
"State Media",0
"Unidentified Forces",83.4
"Uyghur",0
