"TSectors","Intensity"
"(National) Minor Party",5.8
"Agriculture",0
"Army",0
"Centrist",0
"Criminals",0
"Dissident",12.4
"General Population",63.8
"Health Ministry",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Labor",0
"Local",0
"Media",0
"Military",3.8
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",63.1
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",0
"Social",3.8
"State-Owned Transportation",0
"Unidentified Forces",0
