"TSectors","Intensity"
"(National) Major Party",21
"Agricultural",0
"Buddhist",0
"Business",0
"Criminals",16.8
"Dissident",6.8
"Education",0
"Elite",6.8
"Exiles",0
"General Population",236
"Government",14.8
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",16.8
"International Religious",0
"Judicial",8.8
"Labor",0
"Legislative",0
"Media",0
"Medical",0
"Military",24.8
"Municipal",0
"Muslim",13.8
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",15.8
"Opposition Major Party (Out Of Government)",0
"Parties",14.8
"Police",20.8
"Protestors",6.8
"Radicals",0
"Rebel",0
"Social",69.8
"Unidentified Forces",11.8
