"TSectors","Intensity"
"(National) Minor Party",10.6
"Agricultural",34
"Business",15
"Center Right",0
"Communist",0
"Criminals",0
"Dissident",0
"Education",0
"Elite",33
"Energy Ministry",0
"Entertainment",0
"Ethnic NGOs",0
"Exiles",0
"General Population",23
"Government",21.5
"Human Rights IGOs",0
"Ideological",0
"Insurgents",14
"Judicial",7.6
"Labor",0
"Legal",11
"Local",14
"Media",0
"Medical",0
"Military",60
"Municipal",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",50.5
"Protestors",0
"Provincial",0
"Rebel",0
"Social",77.6
"Transportation Business",0
"Unidentified Forces",0
