"TSectors","Intensity"
"(National) Minor Party",0
"Agriculture",0
"Army",0
"Centrist",5
"Criminals",5
"Dissident",0
"General Population",154.7
"Health Ministry",0
"Human Rights IGOs",0
"Human Rights NGOs",9
"Labor",0
"Local",0
"Media",17.5
"Military",0
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",0
"Protestors",263.7
"Provincial",0
"Radicals",0
"Rebel",0
"Social",0
"State-Owned Transportation",0
"Unidentified Forces",0
