"TSectors","Intensity"
"Agricultural",0
"Business",0
"Christian",0
"Criminals",46
"Dissident",19
"Education",0
"Elections Ministry",0
"Exiles",0
"General Population",119.8
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",0
"Insurgents",0
"International Dissident",0
"International Insurgents",0
"International Religious",0
"Labor",0
"Legal",0
"Marines",0
"Media",5.4
"Military",9.4
"Municipal",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",20.4
"Protestors",0
"Radicals",0
"Rebel",0
"Separatists",0
"Social",5.4
"State Owned Enterprises",0
"State-Owned Transportation",0
"Sunni",0
"Unidentified Forces",5.4
