"TSectors","Intensity"
"(National) Major Party",4.4
"Army",0
"Business",0
"Criminals",114.4
"Dissident",78.4
"Education",0
"Executive",0
"Fundamentalist",0
"General Population",813
"Government",832.6
"Ideological",227.8
"Insurgents",0
"Intelligence Ministry",0
"International Religious",42.3
"Judicial",0
"Labor",42.4
"Legal",19.4
"Legislative",0
"Local",6.4
"Media",2.4
"Medical",0
"Military",116
"Municipal",0
"National Religious",0
"Nongovernmental Organizations",0
"Parties",7.4
"Police",179.4
"Protestors",13.4
"Provincial",5.4
"Radicals",0
"Rebel",89.4
"Social",114.9
"Sunni",85.4
"Unidentified Forces",233
