"TSectors","Intensity"
"Business",0
"Criminals",30.7
"Defense",0
"Dissident",45.7
"Education",0
"Elite",20.3
"Executive",0
"Executive Office",0
"General Population",91.7
"Government",52.7
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"Intelligence Ministry",0
"International Dissident",0
"International Radicals",0
"International Religious",0
"Labor",0
"Local",0
"Media",0
"Medical",0
"Military",41.7
"Muslim",33.7
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",0
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",0
"Separatists",0
"Shia",0
"Social",16.4
"Unidentified Forces",0
