"TSectors","Intensity"
"(National) Major Party",0
"Army",57.4
"Business",0
"Criminals",75.3
"Dissident",289.6
"Education",0
"Executive",0
"Fundamentalist",0
"General Population",737
"Government",433.5
"Ideological",51.8
"Insurgents",287.8
"Intelligence Ministry",0
"International Religious",115.2
"Judicial",51.8
"Labor",0
"Legal",0
"Legislative",5.8
"Local",0
"Media",44.8
"Medical",0
"Military",229.6
"Municipal",154.1
"National Religious",0
"Nongovernmental Organizations",57.8
"Parties",56.8
"Police",202.4
"Protestors",77.8
"Provincial",51.8
"Radicals",0
"Rebel",0
"Social",144.9
"Sunni",147.9
"Unidentified Forces",124
