"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",9
"Communist",0
"Criminals",0
"Dissident",60.1
"Education",0
"Environment Ministry",0
"General Population",0
"Government",289.9
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",0
"Insurgents",0
"Labor",7
"Legislative",0
"Media",0
"Medical",0
"Military",0
"Municipal",0
"Nationalist",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",49
"Protestors",88
"Provincial",0
"Radicals",3.6
"Rebel",12
"Refugees",0
"Regional Diplomatic IGOs",0
"Social",330
"Transportation Business",0
"Unidentified Forces",0
"Women",0
