"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",19.8
"Business",0
"Criminals",37.8
"Defense",0
"Dissident",3.8
"Education",9.8
"Far Left",9.3
"Far Right",2.8
"General Population",462.8
"Government",25.5
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",0
"Insurgents",27
"International Ethnic",0
"Labor",0
"Legislative",91.5
"Local",0
"Marines",0
"Media",18.8
"Medical",0
"Military",72.3
"Municipal",10.8
"National Ethnic Minority",0
"National Religious",0
"Nongovernmental Organizations",0
"Parties",49
"Police",18.8
"Protestors",9.8
"Provincial",0
"Rebel",55.8
"Social",167.4
"South American Indigenous",0
"Unidentified Forces",27.8
