"TSectors","Intensity"
"Agricultural",0
"Business",0
"Catholic",0
"Criminals",0
"Dissident",108
"Education",0
"Entertainment",0
"Environment Ministry",0
"General Population",0
"Government",136.6
"Human Rights NGOs",10
"International Religious",0
"Justice",0
"Labor",3
"Legal",6
"Legislative",8
"Local",0
"Media",0
"Medical",0
"Military",0.6
"Municipal",0
"Muslim",0
"National Religious",12
"Nilotic",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",27.2
"Protestors",0
"Provincial",0
"Rebel",16
"Refugees",0
"Social",139.8
"Television Entertainment",0
"Unidentified Forces",6
"Upper House",0
