"TSectors","Intensity"
"(National) Major Party",20.6
"Agricultural",0
"Buddhist",0
"Business",0
"Criminals",24.1
"Dissident",0
"Education",49.6
"Elite",0
"Exiles",0
"General Population",0
"Government",345.4
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Religious",21.1
"Judicial",0
"Labor",13.1
"Legislative",0
"Media",0
"Medical",0
"Military",0
"Municipal",0
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",76.1
"Nongovernmental Organizations",0
"Opposition Major Party (Out Of Government)",75.9
"Parties",0
"Police",0
"Protestors",366.8
"Radicals",0
"Rebel",0
"Social",321.4
"Unidentified Forces",0
