"TSectors","Intensity"
"(National) Minor Party",0
"Agriculture",0
"Army",0
"Centrist",13.4
"Criminals",0
"Dissident",0.6
"General Population",73.4
"Health Ministry",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Labor",0
"Local",0
"Media",5.4
"Military",0
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",8.4
"Nongovernmental Organizations",2.4
"Police",3.4
"Protestors",7.4
"Provincial",0
"Radicals",0
"Rebel",0
"Social",2.6
"State-Owned Transportation",0
"Unidentified Forces",0
