"TSectors","Intensity"
"(National) Major Party",0
"Agricultural",0
"Arab",0
"Beja",0
"Business",0
"Criminals",43.8
"Dissident",185.7
"Education",0
"General Population",0
"Government",115.5
"Government Major Party (In Government)",0
"Health Ministry",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"Intelligence Ministry",0
"International Ethnic",0
"International Religious",243.3
"Labor",4.8
"Local",0
"Media",3.8
"Military",48.3
"National Ethnic",0
"National Ethnic Minority",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",54.9
"Print News",0
"Protestors",36.6
"Provincial",6.8
"Rebel",109.9
"Refugees",22.8
"Social",234.6
"Unidentified Forces",16.1
"Women",0
