"TSectors","Intensity"
"Business",0
"Criminals",18.4
"Defense",0
"Dissident",122.4
"Education",0
"Elite",0
"Executive",0
"Executive Office",0
"General Population",128.4
"Government",117.5
"Human Rights IGOs",0
"Human Rights NGOs",12.4
"Insurgents",0
"Intelligence Ministry",0
"International Dissident",0
"International Radicals",0
"International Religious",0
"Labor",0
"Local",0
"Media",9.9
"Medical",0
"Military",174.9
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",23.4
"Police",46.4
"Protestors",51.6
"Provincial",0
"Radicals",0
"Rebel",45.4
"Separatists",5.4
"Shia",0
"Social",177.4
"Unidentified Forces",18.4
