"TSectors","Intensity"
"Business",0
"Center Left",0
"Criminals",0
"Dissident",5
"Exiles",0
"General Population",0
"Government",65.6
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",0
"Insurgents",0
"Judicial",1
"Labor",0
"Legal",0
"Media",0
"Medical",0
"Military",33.8
"National",0
"National Ethnic",0
"National Ethnic Minority",0
"National Religious",18
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Online News",0
"Organized Violent",0
"Parties",0
"Police",32
"Protestors",0
"Provincial",0
"Provincial Party",0
"Radio News",0
"Rebel",25
"Social",75
"Unidentified Forces",78.2
"Upper House",0
