"TSectors","Intensity"
"Business",0
"Criminals",129.4
"Defense",0
"Dissident",53.4
"Education",0
"Elite",0
"Executive",37.4
"Executive Office",0
"General Population",303.4
"Government",647.6
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"Intelligence Ministry",0
"International Dissident",0
"International Radicals",0
"International Religious",0
"Labor",0
"Local",0
"Media",0
"Medical",0
"Military",0
"Muslim",28.4
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",48.4
"Protestors",0.4
"Provincial",0
"Radicals",0
"Rebel",0
"Separatists",0
"Shia",28
"Social",11
"Unidentified Forces",195.7
