"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",2.8
"Communist",0
"Criminals",15.8
"Dissident",33.8
"Education",0
"Environment Ministry",0
"General Population",20.8
"Government",0
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",0
"Insurgents",0
"Labor",20.2
"Legislative",0
"Media",0
"Medical",0
"Military",0
"Municipal",0
"Nationalist",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",17.3
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",0
"Refugees",0
"Regional Diplomatic IGOs",0
"Social",52.8
"Transportation Business",0
"Unidentified Forces",0
"Women",0
