"TSectors","Intensity"
"Business",0
"Cabinet",0
"Criminals",22
"Dissident",0
"Education",0
"Elite",20
"Executive",0
"Executive Office",11
"Exiles",12
"Foreign Ministry",0
"General Population",13.6
"Government",101.5
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",0
"Insurgents",0
"Interior",0
"International Religious",0
"Judicial",0
"Labor",35
"Legal",0
"Legislative",12
"Media",9
"Medical",0
"Military",25.5
"Muslim",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",19
"Police",5
"Protestors",12
"Rebel",0
"Refugees",0
"Social",26.6
"Unidentified Forces",0
