"TSectors","Intensity"
"(National) Minor Party",0
"Air Force",0
"Army",5
"Business",4
"Center Right",0
"Centrist",0
"Criminals",56.5
"Dissident",162.8
"Education",72.2
"Executive",0
"General Population",443.2
"Government",135.2
"Human Rights IGOs",0
"Human Rights NGOs",6
"Insurgents",10
"International Ethnic",0
"International Religious",15
"Labor",6
"Local",10
"Media",5
"Medical",0
"Military",139.5
"Muslim",0
"National Religious",8.6
"News",6
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",21.5
"Police",85
"Protestors",0
"Provincial",0
"Radicals",46
"Rebel",16
"Social",690.9
"Unidentified Forces",639.3
