"TSectors","Intensity"
"Agricultural",18
"Business",5
"Christian",0
"Criminals",54
"Dissident",56
"Education",0
"Elections Ministry",0
"Exiles",0
"General Population",122.6
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",0
"Insurgents",0
"International Dissident",0
"International Insurgents",0
"International Religious",13
"Labor",10
"Legal",0
"Marines",8
"Media",6
"Military",26
"Municipal",0
"National Religious",13
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",90.8
"Protestors",0
"Radicals",0
"Rebel",0
"Separatists",0
"Social",0
"State Owned Enterprises",0
"State-Owned Transportation",0
"Sunni",0
"Unidentified Forces",13
