"TSectors","Intensity"
"Agricultural",0
"Army",0
"Banned Parties",0
"Center Left",0
"Criminals",84.5
"Dissident",139.5
"Education",0
"Exiles",0
"Far Left",0
"Fundamentalist",0
"General Population",294.4
"Government",224.7
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",0
"International Ethnic",0
"Kurd (Ethnic Group)",30.5
"Labor",30.5
"Labor NGOs",0
"Legal",0
"Media",24.5
"Military",7.9
"Military Intelligence",38.5
"National",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",19.5
"Protestors",6.5
"Radicals",0
"Radio News",0
"Rebel",78.5
"Social",0
"State-Owned Science",0
"Sunni",0
"Unidentified Forces",80.5
