"TSectors","Intensity"
"Agricultural",0
"Buddhist",1
"Criminals",0
"Defense",0
"Dissident",17.2
"Elections Ministry",0
"Exiles",0
"General Population",78
"Government",26.5
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",4.8
"Insurgents",0
"Intelligence Ministry",0
"Interior",0
"International Ethnic",0
"International Religious",0
"Labor",0
"Media",0
"Medical",0
"Military",11.3
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",6.8
"Nongovernmental Organizations",0
"Police",0
"Protestors",22.1
"Radicals",0
"Rebel",14.8
"Refugees",0
"Separatists",0
"Social",4.8
"State Media",0
